x,y,category,kNN_hit
9.018098,23.355015,TURKEY,0.42857142857142855
32.384983,28.654417,TURKEY,0.0
34.122692,30.82756,TURKEY,0.0
37.259315,23.711193,TURKEY,0.14285714285714285
37.30096,23.91762,TURKEY,0.14285714285714285
7.759115,40.858414,TURKEY,1.0
-8.623656,36.34215,TURKEY,1.0
12.52712,48.3853,TURKEY,1.0
-6.9292254,39.230045,TURKEY,0.8571428571428571
12.982546,46.462997,TURKEY,1.0
-7.360019,36.634575,TURKEY,1.0
10.953212,46.9251,TURKEY,1.0
-6.615849,40.44679,TURKEY,0.5714285714285714
11.994332,45.840805,TURKEY,1.0
-7.6555333,36.849678,TURKEY,1.0
7.7770233,34.754055,TURKEY,0.5714285714285714
-7.2719564,36.253212,TURKEY,0.8571428571428571
11.694061,48.296646,TURKEY,1.0
10.444382,48.64501,TURKEY,1.0
12.329739,45.147263,TURKEY,1.0
-7.3557773,37.214725,TURKEY,1.0
2.582285,34.28418,TURKEY,0.5714285714285714
-5.525698,36.508743,TURKEY,0.42857142857142855
14.034094,48.699036,TURKEY,1.0
11.79667,46.930496,TURKEY,1.0
8.371884,48.289204,TURKEY,1.0
11.097428,46.36193,TURKEY,1.0
7.531232,42.716488,TURKEY,1.0
6.096451,25.752039,TURKEY,0.42857142857142855
9.732903,23.6693,TURKEY,0.42857142857142855
8.705127,45.91681,TURKEY,1.0
7.620446,45.242107,TURKEY,1.0
10.752785,43.848583,TURKEY,1.0
9.248918,40.830948,TURKEY,1.0
8.554024,45.26006,TURKEY,1.0
6.9181557,44.01376,TURKEY,1.0
10.378625,43.655605,TURKEY,1.0
8.065107,40.549294,TURKEY,1.0
5.282703,38.83126,TURKEY,0.42857142857142855
7.0031724,37.61038,TURKEY,0.8571428571428571
3.9465046,41.744846,TURKEY,0.14285714285714285
7.1899786,39.959557,TURKEY,1.0
8.138573,45.77982,TURKEY,1.0
7.4176764,45.339417,TURKEY,1.0
8.1715355,45.332294,TURKEY,1.0
-6.7022142,40.69515,TURKEY,0.5714285714285714
10.3347025,43.33584,TURKEY,1.0
9.0230465,41.08282,TURKEY,1.0
10.194366,43.301838,TURKEY,1.0
8.653493,41.148853,TURKEY,1.0
5.4619045,38.551105,TURKEY,0.42857142857142855
6.143437,37.7268,TURKEY,0.42857142857142855
3.720151,42.2307,TURKEY,0.14285714285714285
-0.55758387,39.029373,TURKEY,0.0
15.650026,50.92398,TURKEY,1.0
14.4822235,49.371143,TURKEY,1.0
13.19478,48.56341,TURKEY,1.0
14.574708,48.23122,TURKEY,1.0
7.633407,42.585304,TURKEY,1.0
6.538912,24.199934,TURKEY,0.5714285714285714
9.063995,23.06968,TURKEY,0.42857142857142855
11.706416,48.07968,TURKEY,1.0
10.467576,48.7227,TURKEY,1.0
12.882882,45.75124,TURKEY,1.0
11.006361,40.529346,TURKEY,1.0
10.450256,46.594547,TURKEY,1.0
7.055693,44.09982,TURKEY,1.0
11.575623,45.164223,TURKEY,1.0
8.492388,39.839794,TURKEY,1.0
7.62505,34.480423,TURKEY,0.5714285714285714
7.4184613,35.855732,TURKEY,0.7142857142857143
