Energy1,Fat,Saturated Fat,MUFA,PUFA,Omega,Carbohydrates,Sugar,category,Name,x,y,Trustworthiness,Continuity,MRRE_False,MRRE_Missing,Neighborhood_Hit,accuracy
325.05,0.67,0.07,0.0,0.0,0.0,85.0,72.5,Fruit,CA Sweetened Dried Cranberries Soft & Moist Sliced,191.6507,-87.424614,0.9814285714285714,0.9914285714285714,0.9802477430914479,0.9889221969540348,1.0,0.9855067707256564
319.26,0.94,0.1,0.53,0.27,0.0,82.57,67.82,Fruit,CA Sweetened Dried Cranberries Classic Whole,160.14066,-111.04894,0.94,0.9299999999999999,0.9401574667493625,0.9439993797808559,1.0,0.9385392116325546
325.0,0.7,0.1,0.0,0.0,0.0,76.1,72.5,Fruit,CA Organic Sweetened Dried Cranberries Soft & Moist Sliced,162.7231,-147.80641,0.8885714285714286,0.8614285714285714,0.8617686582592516,0.8550237750671904,1.0,0.8666981083316105
575.0,49.42,3.73,0.0,0.0,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 23/25, 997,92kg Big Bag, Whole pasteurized",-101.73378,91.209465,0.99,0.99,0.9938925642615947,0.9938925642615947,1.0,0.9919462821307973
428.14,47.62,3.59,30.38,11.37,0.0,30.12,19.18,Nut,Californian Almonds Honey Roasted Whole,-10.818067,99.99671,0.9171428571428571,0.8314285714285714,0.8985769416304872,0.8055871407897457,1.0,0.8631838777479154
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 25/27, pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
403.3,21.6,1.4,0.0,9.45,0.2,4.1,4.1,Seeds,US Cranberry Seeds,-128.37598,13.584621,0.8057142857142857,0.69,0.8705723244435256,0.7773240989594101,0.14285714285714285,0.7859026772793053
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 30/32, non pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
351.0,4.27,0.81,0.0,0.0,0.0,71.6,42.2,Fruit,"EC Organic Goldenberries Dried, Biosuisse, Fairtrade",50.404316,-83.13718,0.9071428571428571,0.9285714285714286,0.9365825925160223,0.9575580594032114,1.0,0.9324637344083798
736.0,74.0,10.04,59.64,1.12,0.0,4.5,4.5,Nut,"Australian Macadamia Kernels Style 1, Raw shelled, 16mm",20.28763,238.25375,0.9028571428571428,0.9128571428571428,0.9316552959823582,0.9438960099235063,0.8571428571428571,0.9228163979050374
596.4,52.17,4.04,32.46,13.03,0.0,21.25,4.94,Nut,"Californian Almonds Butte SSR 27/30, non pasteurized",17.305916,125.16056,0.9814285714285714,0.9971428571428571,0.9615894838398457,0.9826941630487217,1.0,0.980713768864999
577.53,47.62,3.59,0.0,0.0,0.0,21.6,19.17,Nut,Californian Almonds Honey Roasted,-141.92046,78.87461,0.9957142857142857,0.9957142857142857,0.9773189304665426,0.975208462545655,1.0,0.9859889911101922
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Monterey SSR 23/25, non pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Carmel SSR 27/30, non pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
590.0,52.52,3.95,33.42,12.37,0.0,18.67,4.63,Nut,Californian Almonds Blanched Monterey SSR 20/22,-76.78944,182.73717,0.9571428571428572,0.9442857142857143,0.9357987044311212,0.9195954792915719,1.0,0.9392056887878162
603.7,55.06,4.15,0.0,12.0,0.0,17.66,4.4,Nut,"Californian Almonds Roasted, Hickory Smoked",-56.305317,93.85327,0.8771428571428571,0.9114285714285715,0.9090603679966922,0.8366842395424161,1.0,0.8835790090276343
577.53,47.62,3.59,0.0,0.0,0.0,21.6,19.17,Nut,Californian Almonds Dry Honey Roasted Diced,-141.92046,78.87461,0.9957142857142857,0.9957142857142857,0.9773189304665426,0.975208462545655,1.0,0.9859889911101922
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Extra No. 1 25/27, non pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
590.0,52.52,3.95,33.42,12.37,20.0,18.67,4.63,Nut,Californian Almonds Blanched NP 20/22,-57.40591,299.4701,0.9271428571428572,0.9728571428571429,0.9663703397422645,0.9846495761835848,0.8571428571428571,0.9627549789814623
590.0,52.52,3.95,33.42,12.37,0.0,18.67,4.63,Nut,Californian Almonds Blanched Splits Medium,-76.78944,182.73717,0.9571428571428572,0.9442857142857143,0.9357987044311212,0.9195954792915719,1.0,0.9392056887878162
575.0,49.42,3.73,30.89,12.07,0.0,21.67,3.89,Nut,"Californian Almonds Nonpareil Supreme 32/34, pasteurized",-32.943226,151.87047,0.9942857142857143,0.9985714285714286,0.9797653504238164,0.9888102129419062,1.0,0.9903581765557165
340.5,0.55,0.0,0.0,0.0,0.0,83.68,72.75,Fruit,"US Sweetened Dried Cranberries BFF Raspberry Sliced 17,6%Z",153.05583,-61.700706,0.9714285714285714,0.9714285714285714,0.9727534284336021,0.9745365584728827,1.0,0.9725367824409069
60.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,Fruit,"PE Passionfruit Pulp With Seeds 14° Brix, Frozen, Non Pasteurized",-157.36163,-88.13672,0.9742857142857143,0.9685714285714285,0.9329732616635655,0.9198280614706085,0.8571428571428571,0.9489146164978292
691.0,71.97,6.0,40.8,21.6,0.0,13.86,4.0,Nut,Pecan Fancy Junior Mammoth Halves,-42.221466,219.46162,0.9314285714285714,0.94,0.9604868720281166,0.9270897939494177,0.8571428571428571,0.9397513093515264
691.0,71.97,6.0,0.0,0.0,0.0,13.86,4.0,Nut,Pecan Fancy Large Pieces,-128.85387,135.8543,0.9957142857142857,0.9957142857142857,0.9945041692509131,0.9912480187444008,1.0,0.9942951898559713
691.0,71.97,6.0,0.0,0.0,0.0,13.86,4.0,Nut,Pecan Fancy Medium Pieces,-128.85387,135.8543,0.9957142857142857,0.9957142857142857,0.9945041692509131,0.9912480187444008,1.0,0.9942951898559713
691.0,71.97,6.0,0.0,0.0,0.0,13.86,4.0,Nut,Pecan Fancy Midget Pieces,-128.85387,135.8543,0.9957142857142857,0.9957142857142857,0.9945041692509131,0.9912480187444008,1.0,0.9942951898559713
691.0,71.97,6.0,40.8,21.6,0.0,13.86,4.0,Nut,Pecan Fancy Large/ Medium Pieces,-42.221466,219.46162,0.9314285714285714,0.94,0.9604868720281166,0.9270897939494177,0.8571428571428571,0.9397513093515264
691.0,71.97,6.0,0.0,0.0,0.0,13.86,4.0,Nut,Pecan Fancy Small Pieces,-128.85387,135.8543,0.9957142857142857,0.9957142857142857,0.9945041692509131,0.9912480187444008,1.0,0.9942951898559713
67.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,Fruit,"Peach Halves Choice In Syrup, A10 Tin",-96.158066,-58.674526,0.9485714285714286,0.9528571428571428,0.9576355867962235,0.9156501964027289,0.8571428571428571,0.943678588656881
35.0,0.19,0.0,0.0,0.0,0.0,8.0,3.8,Fruit,"Acerola Puree 7° Brix, Frozen",-136.1397,-126.161606,0.9842857142857143,0.9957142857142857,0.9812555992006065,0.9847357177313762,1.0,0.9864978292329957
209.5,0.25,0.0,0.0,0.0,0.0,51.3,26.6,Fruit,"US Cranberry Juice Concentrate 50° Brix, Frozen",-26.767355,-76.166504,0.9942857142857143,0.99,0.9846237337192475,0.980583695127834,1.0,0.987373285783199
255.4,0.0,0.0,0.0,0.0,0.0,61.3,51.4,Fruit,"Orange Juice Concentrate 65° Brix, Ratio 8-12, Frozen",59.04279,-11.126627,0.9185714285714286,0.8757142857142857,0.8194128592102543,0.8006167734821859,1.0,0.8535788367445385
258.0,0.25,0.0,0.0,0.0,0.0,64.09,31.63,Fruit,"CL Cranberry Juice Concentrate 65° Brix, Frozen",8.242094,-93.27621,0.9842857142857143,0.9671428571428572,0.9474105850733926,0.9535697057404727,1.0,0.9631022155606092
257.0,0.13,0.0,0.0,0.0,0.0,62.17,33.42,Fruit,"US Prune Concentrate 64° Brix, Aseptic",0.819771,-146.08257,0.9785714285714285,0.9271428571428572,0.9729773964578595,0.9551805526841706,1.0,0.958468058714079
35.0,0.19,0.0,0.0,0.0,0.0,8.0,3.8,Fruit,"Organic Acerola Puree 6° Brix, Frozen",-136.1397,-126.161606,0.9842857142857143,0.9957142857142857,0.9812555992006065,0.9847357177313762,1.0,0.9864978292329957
35.0,0.19,0.0,0.0,0.0,0.0,8.0,3.8,Fruit,"Organic Acerola Juice NFC 6° Brix, Frozen",-136.1397,-126.161606,0.9842857142857143,0.9957142857142857,0.9812555992006065,0.9847357177313762,1.0,0.9864978292329957
